Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Valid Value
PCT0120001,Total population,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120002,Male:,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120003,Male: !! Under 1 year,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120004,Male: !! 1 year,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120005,Male: !! 2 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120006,Male: !! 3 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120007,Male: !! 4 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120008,Male: !! 5 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120009,Male: !! 6 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120010,Male: !! 7 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120011,Male: !! 8 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120012,Male: !! 9 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120013,Male: !! 10 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120014,Male: !! 11 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120015,Male: !! 12 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120016,Male: !! 13 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120017,Male: !! 14 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120018,Male: !! 15 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120019,Male: !! 16 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120020,Male: !! 17 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120021,Male: !! 18 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120022,Male: !! 19 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120023,Male: !! 20 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120024,Male: !! 21 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120025,Male: !! 22 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120026,Male: !! 23 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120027,Male: !! 24 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120028,Male: !! 25 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120029,Male: !! 26 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120030,Male: !! 27 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120031,Male: !! 28 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120032,Male: !! 29 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120033,Male: !! 30 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120034,Male: !! 31 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120035,Male: !! 32 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120036,Male: !! 33 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120037,Male: !! 34 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120038,Male: !! 35 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120039,Male: !! 36 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120040,Male: !! 37 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120041,Male: !! 38 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120042,Male: !! 39 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120043,Male: !! 40 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120044,Male: !! 41 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120045,Male: !! 42 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120046,Male: !! 43 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120047,Male: !! 44 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120048,Male: !! 45 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120049,Male: !! 46 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
